login,date,equity,balance,ts
97063065,876797589,0,0,0
97063065,876798881,0,0,0
97063065,876799472,0,0,0
97063065,876800634,0,0,0
97063065,876803335,0,0,0
97063065,876804488,0,0,0
97063065,876820924,0,0,0
97063065,876823202,0,0,0
97063065,876823392,0,0,0
97063065,876824079,0,0,0
97063065,876825897,0,0,0
97063065,876827354,0,0,0
97063065,876835953,0,0,0
97063065,876842621,0,0,0
97063065,876845219,0,0,0
97063065,876849403,0,0,0
97063065,876850230,0,0,0
97063065,876852877,0,0,0
97063065,876856613,0,0,0
97063065,876867016,0,0,0
97063065,876899213,0,0,0
97063065,876902148,0,0,0
97063065,876910294,0,0,0
97063065,876918086,0,0,0
97063065,876920455,0,0,0
97063065,876921244,0,0,0
97063065,876922205,0,0,0
97063065,876927136,0,0,0
97063065,876929040,0,0,0
97063065,876940690,0,0,0
97063065,876941364,0,0,0
97063065,876941734,0,0,0
97063065,876943065,0,0,0
97063065,876952286,0,0,0
97063065,876999284,0,0,0
97063065,877005207,0,0,0
97063065,877015965,0,0,0
97063065,877017057,0,0,0
97063065,877017311,0,0,0
97063065,877021049,0,0,0
97063065,877039025,0,0,0
97063065,877061173,0,0,0
97063065,877104856,0,0,0
97063065,877114347,0,0,0
97063065,877114373,0,0,0
97063065,877115709,0,0,0
97063065,877118327,0,0,0
97063065,877119211,0,0,0
97063065,877133672,0,0,0
97063065,877145470,0,0,0
97063065,877145852,0,0,0
97063065,877147963,0,0,0
97063065,877150435,0,0,0
97063065,877151633,0,0,0
97063065,877179723,0,0,0
97063065,877196872,0,0,0
97063065,877199132,0,0,0
97063065,877220339,0,0,0
97063065,877221129,0,0,0
97063065,877221341,0,0,0
97063065,877224232,0,0,0
97063065,877233342,0,0,0
97063065,877233592,0,0,0
97063065,877265868,0,0,0
97063065,877281101,0,0,0
97063065,877282375,0,0,0
97063065,877282593,0,0,0
97063065,877288971,0,0,0
97063065,877327672,0,0,0
97063065,877328323,0,0,0
97063065,877357243,0,0,0
97063065,877359372,0,0,0
97063065,877359417,0,0,0
97063065,877388781,0,0,0
97063065,877428766,0,0,0
97063065,877468000,0,0,0
97063065,877475247,0,0,0
97063065,877476535,0,0,0
97063065,877496119,0,0,0
97063065,877510926,0,0,0
97063065,877512806,0,0,0
97063065,877523929,0,0,0
97063065,877528638,0,0,0
97063065,877532801,0,0,0
